X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area
141540.014877382,5905600.31086943,Chiguayante,Ciudad,29855.99833690000,10380755.34750000015
130709.05956514,5887394.76947263,Lota,Ciudad,14233.34973800000,5262641.69737000018
130056.366630543,5895883.70755631,Coronel,Ciudad,41577.79183180000,15516848.53470000066
169641.564527159,5869736.08488818,San Rosendo,Ciudad,6499.36942317000,1534402.23041000008
138896.599261119,5918364.05146184,Concepcin,Ciudad,82986.89437769999,34542266.07949999720
362978.909151827,7957086.57941185,Arica,Ciudad,39931.46523990000,21509819.75079999864
382390.456951522,7760723.980149,Iquique,Ciudad,64442.90073380000,24645355.42520000041
376010.730038929,7556320.91652268,Tocopilla,Ciudad,18321.06400050000,4465189.44792000018
353372.708078361,7444818.80162248,Mejillones,Ciudad,17400.05844390000,7553971.82359999977
351024.49296544,7189278.49499421,Taltal,Ciudad,7610.91797785000,2074162.79765000008
376010.730038929,7556320.91652268,Tocopilla,Ciudad,18321.06400050000,4465189.44792000018
328331.672572489,6837369.97567647,Vallenar,Ciudad,13964.74013490000,5723772.15402000025
296257.971893142,6844714.942708,Freirina,Pueblo,2974.05637531000,224266.67529000001
334845.464272263,6676110.0121845,Vicua,Ciudad,6193.36676612000,1711534.88883000007
313977.987041318,6482312.10419929,Salamanca,Ciudad,8567.07988772000,2017756.77992999996
230683.280511711,5912180.86916164,El Carmen,Pueblo,9226.91471398000,1617639.60474000010
90020.5909489427,5828494.49574094,Lebu,Ciudad,5380.41273778000,958943.07405299996
188429.647621709,5834279.18220111,Negrete,Ciudad,4079.87560616000,711270.48141600005
131480.75797401,5884915.66482316,Lota,Ciudad,3891.61913400000,635335.00646399998
173837.617260237,5918544.30762608,Florida,Pueblo,8021.64060463000,1556327.56181000010
136897.109791185,5937543.35638092,Isla Quiriquina,Pueblo,4129.94762696000,286644.27229400002
112747.45944072,5821753.90864129,Antiguala,Pueblo,10541.35342960000,1042970.93344000005
238622.94140225,5874405.12627557,Huepil,Ciudad,8352.78158453000,2675814.86236000014
194447.643364778,5890010.4683179,Monte Aguila,Pueblo,7520.83081522000,1747190.38547000010
507894.954312216,7517192.65069561,Calama,Ciudad,31299.97526830000,17515368.09470000118
353372.708078361,7444818.80162248,Mejillones,Ciudad,17400.05844390000,7553971.82359999977
357780.961151406,7387056.05106661,Antofagasta,Ciudad,57876.82435770000,35083002.36200000346
351024.49296544,7189278.49499421,Taltal,Ciudad,7610.91797785000,2074162.79765000008
368241.798317466,6972420.04075872,Copiap,Ciudad,45266.60740530000,16935952.96739999950
338735.194948318,7085274.28886747,Chaaral,Ciudad,8704.00587686000,2301685.53514999989
319832.064889547,7004673.47909783,Caldera,Ciudad,12305.00449680000,2955959.28780000005
276932.784699639,6682825.74080068,Coquimbo,Ciudad,49899.27037240000,37315429.74000000209
289366.782041123,6612962.96635688,Ovalle,Ciudad,16915.68204510000,7385884.25019000005
309092.852075418,6548798.96614259,Combarbal,Ciudad,6077.45895428000,1283014.96549000009
294511.621185863,6498527.1851236,Illapel,Ciudad,8820.44126958000,2260305.07645000005
263068.164730288,6466522.96601737,Los Vilos,Ciudad,8504.45073383000,2304555.16160999984
283103.409196598,6688270.94940528,La Serena,Ciudad,49691.97697820000,38650537.61519999802
246728.954715171,5942688.61826229,Coihueco,Ciudad,8404.35257044000,1673081.53922999999
128866.742158503,5783988.67507081,Contulmo,Pueblo,9332.49417842000,903338.48097300006
89193.8360233822,5827046.54198185,Lebu,Ciudad,12475.51455910000,2799199.31377999997
176776.456207908,5841737.33251638,El Sauzal,Pueblo,8982.03085853000,2775660.40666999994
174622.115405905,5843207.72312833,Nacimiento,Ciudad,12623.19577420000,3522671.79506999999
140320.490950893,5912120.00248368,Chiguayante,Ciudad,13031.30227720000,1609025.43999999994
112895.89505828,5807223.67721147,Caete,Ciudad,11662.12704260000,3761494.50328999991
234978.795603005,5825034.16317857,Quillaco,Pueblo,5985.17920068000,911186.94327799999
