X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,datos_com_conb_Comuna,datos_com_conb_Pob_Comun_2002,datos_com_conb_Conurbacion,datos_com_conb_Pob_Conurb_2002,datos_com_conb_vehicle,datos_com_conb_motor vehicle,datos_com_conb_Non-motorized vehicle,datos_com_conb_private transport,datos_com_conb_public transport,datos_com_conb_CO2(movil transport sources),datos_com_conb_Green spaces,datos_com_conb_Iliteracy,datos_com_conb_Municipal spending(M$/hab),datos_com_conb_Unemployment,datos_com_conb_Crime reports,datos_com_conb_Arrested person,datos_com_conb_Companies,datos_com_conb_Sales,datos_com_conb_workers,datos_com_conb_Income(workers),datos_com_conb_Professional technicians,datos_com_conb_University Professional,datos_com_conb_Professionals,datos_com_conb_Solid Waste,datos_com_conb_Municipal spending for Power Consumption,datos_com_conb_Municipal spending for Water Consumption,"datos_com_conb_Municipal Spending cleaning services, garbage collection, landfill",datos_com_conb_Deaths,datos_com_conb_Birthrate,datos_com_conb_Year of scholarship,datos_com_conb_Offence Against Property,datos_com_conb_Offence Against the Person,datos_com_conb_Burglary,datos_com_conb_Robbery,datos_com_conb_Injuries,datos_com_conb_Indigenous,datos_com_conb_Emergency attendence,datos_com_conb_Respiratory Diseases,datos_com_conb_Cardiovascular Diseases,datos_com_conb_Hospitalizations,datos_com_conb_Street length
-73.0239782,-36.92750079,Chiguayante,Ciudad,29855.99834,10380755.35,Chiguayante,81302,Gran ConcepciÃ_n,848023,11858,11639,219,10593,725,52155.1,138213.4,1193.899545,45090.0892,2148.40535,1207,252,2354,3983982.6,7918,729413.4173,5211.4582,8926.9596,14138.4178,34643,558891,38437,1470258,389,1211,305784.9522,681.9993879,524.9995348,457.2505782,126.1075322,332.9642108,1959.3782,86075,33123,951,,170185.2153
-73.15419105,-37.08700362,Lota,Ciudad,14233.34974,5262641.697,Lota,49089,Gran ConcepciÃ_n,848023,2762,2626,136,1848,494,9570.7,73633.5,848.846988,44185.0089,2392.205148,805,445,1556,5728198.08,5002,706512.2121,2086.2825,1953.7422,4040.0247,15275,375725,67539,892011,312,780,137975.4341,424.9997989,379.997949,318.4010718,45.6282255,324.3506586,1654.2993,75064,21527,1346,2806,94732.40266
-73.15734366,-37.01042617,Coronel,Ciudad,41577.79183,15516848.53,Coronel,95528,Gran ConcepciÃ_n,848023,6199,5792,407,4428,716,75463.12,191056,1439.070093,60039.348,4417.537605,1438,503,3416,29751164.25,23424,2291784.988,4336.9712,5397.332,9734.3032,32283,1206705,229665,2125533,555,1651,354838.756,871.9996449,566.0034,577.0942008,103.5236936,404.5419744,2923.1568,197067,73181,3521,4200,260031.8904
-72.72492682,-37.26037342,San Rosendo,Ciudad,6499.369423,1534402.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.04751593,-36.81172027,ConcepciÃ_n,Ciudad,82986.89438,34542266.08,ConcepciÃ_n,216061,Gran ConcepciÃ_n,848023,41565,40919,646,38061,1369,172570.63,799425.7,1909.354824,148196.2399,9746.881174,6016,4921,17980,101598029.3,125749,14420333.54,15945.3018,37681.0384,53626.3402,87471,1969484,92753,3144720,1257,2743,943722.0389,4089.998,1925.967754,2665.198859,486.2668866,879.6059371,4818.1603,305739,90436,5386,11247,667899.21
-70.29773762,-18.47213223,Arica,Ciudad,39931.46524,21509819.75,Arica,185268,Arica,175441,29649,28909,740,23811,3379,62454.17,296428.8,1642.310039,96876.6372,6046.999306,3347,1478,12660,28031298.74,40970,3221089.884,10856.7048,19082.604,29939.3088,112257,1831201,398469,1074983,1107,3634,782988.885,2166.998278,1179.990419,1492.685749,227.5832112,842.3950692,24121.8936,132798,31272,3768,8024,478863.3421
-70.12603338,-20.24755407,Iquique,Ciudad,64442.90073,24645355.43,Iquique,166204,Gran Iquique,214586,,,,,,93258.19,182824.4,394.2026472,125733.326,6570.04412,5120,2657,12622,112813293.7,62071,5566590.799,10038.7216,17684.1056,27722.8272,113279,1481510,519307,3816525,1027,3530,759319.5944,2722.464733,1209.54961,1827.41298,232.7853224,765.535624,9772.7952,256539,75619,4616,11623,347137.4328
-70.20193072,-22.09362406,Tocopilla,Ciudad,18321.064,4465189.448,Tocopilla,23986,Tocopilla,23352,2588,2495,93,1929,392,,14391.6,124.343424,21656.9594,877.8645734,379,106,1266,13097142.72,3786,723612.2257,1295.244,1237.6776,2532.9216,9300,,,,162,436,87155.5296,202.0000179,176.9974912,128.3658762,18.0518636,150.4305976,208.6782,49454,13342,1242,1522,56486.90334
-70.43170889,-23.09884896,Mejillones,Ciudad,17400.05844,7553971.824,Mejillones,8418,Mejillones,7825,1788,1732,56,1513,116,,14310.6,39.20818188,13216.26,237.2259744,198,71,395,1254288.91,1054,102201.6092,462.99,385.5444,848.5344,3619,160790,73416,424363,39,159,26028.456,120.0000211,78.0003462,83.7793032,5.5845012,62.3681202,192.7722,28285,7720,491,60,26758.43546
-70.48112328,-25.4059141,Taltal,Ciudad,7610.917978,2074162.798,Taltal,11100,Taltal,9564,959,921,38,774,107,,,161.618997,15140.4,294.570357,240,77,631,1185221.39,901,113779.2561,307.47,395.16,702.63,3679,293252,81648,242910,61,175,50119.83,135.999864,104.00034,68.11515,9.87123,88.84662,101.01,27518,6372,387,109,22007.09197
-70.20193072,-22.09362406,Tocopilla,Ciudad,18321.064,4465189.448,Tocopilla,23986,Tocopilla,23352,2588,2495,93,1929,392,,14391.6,124.343424,21656.9594,877.8645734,379,106,1266,13097142.72,3786,723612.2257,1295.244,1237.6776,2532.9216,9300,,,,162,436,87155.5296,202.0000179,176.9974912,128.3658762,18.0518636,150.4305976,208.6782,49454,13342,1242,1522,56486.90334
-70.75529813,-28.5792524,Vallenar,Ciudad,13964.74013,5723772.154,Vallenar,48040,Vallenar,43750,6204,6092,112,4748,912,,38432,785.6010024,25595.712,1016.853072,779,285,2746,16259430.54,9998,1064238.631,1460.416,2622.984,4083.4,27093,362800,62279,166883,300,881,154404.4032,509.999846,268.99998,303.045928,27.637412,224.072972,1268.256,76433,22954,1894,3564,238744.9367
-71.08178208,-28.50835851,Freirina,Pueblo,2974.056375,224266.6753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-70.71284596,-30.03491418,VicuÃ±a,Ciudad,6193.366766,1711534.889,VicuÃ±a,24010,VicuÃ±a,12910,2453,2399,54,2003,280,,31213,359.612176,14129.885,253.363124,154,29,1212,6526644.01,9586,632981.9263,823.543,725.102,1548.645,5433,253825,33501,147634,135,409,66443.1131,98.9997127,54.997306,56.819665,7.704809,42.375249,180.075,27879,7934,389,991,49196.43912
-70.96455982,-31.77961321,Salamanca,Ciudad,8567.079888,2017756.78,Salamanca,24494,Salamanca,11615,2314,2253,61,1833,165,,36741,660.595097,15641.8684,725.928678,226,110,1595,2124192.26,3232,169240.0285,702.9778,698.079,1401.0568,16343,227082,29640,,154,392,85810.07514,116.9999999,108.9983,62.3592746,5.8467178,97.437132,340.4666,16823,5191,380,687,36938.55225
-72.02241505,-36.89795288,El Carmen,Pueblo,9226.914714,1617639.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.64314568,-37.59929341,Lebu,Ciudad,5380.412738,958943.0741,Lebu,25035,Lebu,20838,1511,1506,5,1246,138,,25035,464.74974,17476.9335,805.566216,400,168,880,1761561.12,3248,595390.1924,498.1965,948.8265,1447.023,7744,283957,67840,158747,166,374,75606.95175,230.0000499,169.997664,109.4004465,8.7897885,153.3518925,2949.123,42889,11871,401,1565,51784.37019
-72.52841539,-37.58584224,Negrete,Ciudad,4079.875606,711270.4814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.14674754,-37.10959588,Lota,Ciudad,3891.619134,635335.0065,Lota,49089,Gran ConcepciÃ_n,848023,2762,2626,136,1848,494,9570.7,73633.5,848.846988,44185.0089,2392.205148,805,445,1556,5728198.08,5002,706512.2121,2086.2825,1953.7422,4040.0247,15275,375725,67539,892011,312,780,137975.4341,424.9997989,379.997949,318.4010718,45.6282255,324.3506586,1654.2993,75064,21527,1346,2806,94732.40266
-72.65655656,-36.82277991,Florida,Pueblo,8021.640605,1556327.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.06077122,-36.63849356,Isla Quiriquina,Pueblo,4129.947627,286644.2723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.39003843,-37.66971044,Antiguala,Pueblo,10541.35343,1042970.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.94655814,-37.24025869,Huepil,Ciudad,8352.781585,2675814.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.43742327,-37.08641407,Monte Aguila,Pueblo,7520.830815,1747190.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-68.9232687,-22.45152051,Calama,Ciudad,31299.97527,17515368.09,Calama,138402,Calama,136600,33236,31931,1305,24627,4272,124119.07,152242.2,160.477119,64398.4506,4381.025349,3066,1187,6344,46853067.17,32200,4538646.592,11404.3248,10933.758,22338.0828,44341,1099776,206834,3206887,598,2893,499827.7508,1990.999963,1074.996014,1330.832111,146.2632336,832.349628,13148.19,100945,26479,3026,3979,392271.0745
