X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,conb_Conurbacion,conb_Pob_Conurb_2002,conb_vehicle,conb_motor vehicle,conb_Non-motorized vehicle,conb_private transport,conb_public transport,conb_CO2(movil transport sources),conb_Green spaces,conb_Iliteracy,conb_Municipal spending(M$/hab),conb_Unemployment,conb_Crime reports,conb_Arrested person,conb_Companies,conb_Sales,conb_workers,conb_Income(workers),conb_Professional technicians,conb_University Professional,conb_Professionals,conb_Solid Waste,conb_Municipal spending for Power Consumption,conb_Municipal spending for Water Consumption,conb_Municipal Spending cleaning services garbage collection landfill,conb_Deaths,conb_Birthrate,conb_Year of scholarship,conb_Offence Against Property,conb_Offence Against the Person,conb_Burglary,conb_Robbery,conb_Injuries,conb_Indigenous,conb_Emergency attendence,conb_Respiratory Diseases,conb_Cardiovascular Diseases,conb_Hospitalizations,conb_Street length
-73.0239781965863,-36.9275007925251,Chiguayante,Ciudad,29855.99834,10380755.34750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.1541910488632,-37.0870036167646,Lota,Ciudad,14233.34974,5262641.69737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.1573436649238,-37.0104261690127,Coronel,Ciudad,41577.79183,15516848.53470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.7249268221373,-37.2603734164839,San Rosendo,Ciudad,6499.36942,1534402.23041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.0475159274557,-36.8117202659816,Concepcin,Ciudad,82986.89438,34542266.07950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-70.2977376180835,-18.472132231422,Arica,Ciudad,39931.46524,21509819.75080,Arica,175441,29649,28909,740,23811,3379,62454.17000,296428.80000,1642.31004,96876.63720,6046.99931,3347,1478,12660,28031298.74000,40970,3221089.88400,10856.70480,19082.60400,29939.30880,112257,1831201,398469,1074983,1107,3634,782988.88500,2166.99828,1179.99042,1492.68575,227.58321,842.39507,24121.89360,132798,31272,3768,8024,478863.34210
-70.1260333820657,-20.2475540700641,Iquique,Ciudad,64442.90073,24645355.42520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-70.2019307231437,-22.0936240620281,Tocopilla,Ciudad,18321.06400,4465189.44792,Tocopilla,23352,2588,2495,93,1929,392,,14391.60000,124.34342,21656.95940,877.86457,379,106,1266,13097142.72000,3786,723612.22570,1295.24400,1237.67760,2532.92160,9300,,,,162,436,87155.52960,202.00002,176.99749,128.36588,18.05186,150.43060,208.67820,49454,13342,1242,1522,56486.90334
-70.4317088901484,-23.0988489560396,Mejillones,Ciudad,17400.05844,7553971.82360,Mejillones,7825,1788,1732,56,1513,116,,14310.60000,39.20818,13216.26000,237.22597,198,71,395,1254288.91000,1054,102201.60920,462.99000,385.54440,848.53440,3619,160790,73416,424363,39,159,26028.45600,120.00002,78.00035,83.77930,5.58450,62.36812,192.77220,28285,7720,491,60,26758.43546
-70.4811232848703,-25.4059141022466,Taltal,Ciudad,7610.91798,2074162.79765,Taltal,9564,959,921,38,774,107,,,161.61900,15140.40000,294.57036,240,77,631,1185221.39000,901,113779.25610,307.47000,395.16000,702.63000,3679,293252,81648,242910,61,175,50119.83000,135.99986,104.00034,68.11515,9.87123,88.84662,101.01000,27518,6372,387,109,22007.09197
-70.2019307231437,-22.0936240620281,Tocopilla,Ciudad,18321.06400,4465189.44792,Tocopilla,23352,2588,2495,93,1929,392,,14391.60000,124.34342,21656.95940,877.86457,379,106,1266,13097142.72000,3786,723612.22570,1295.24400,1237.67760,2532.92160,9300,,,,162,436,87155.52960,202.00002,176.99749,128.36588,18.05186,150.43060,208.67820,49454,13342,1242,1522,56486.90334
-70.7552981285837,-28.5792523996364,Vallenar,Ciudad,13964.74013,5723772.15402,Vallenar,43750,6204,6092,112,4748,912,,38432.00000,785.60100,25595.71200,1016.85307,779,285,2746,16259430.54000,9998,1064238.63100,1460.41600,2622.98400,4083.40000,27093,362800,62279,166883,300,881,154404.40320,509.99985,268.99998,303.04593,27.63741,224.07297,1268.25600,76433,22954,1894,3564,238744.93670
-71.0817820755098,-28.5083585113643,Freirina,Pueblo,2974.05638,224266.67529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-70.7128459613075,-30.0349141840522,Vicua,Ciudad,6193.36677,1711534.88883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-70.9645598211794,-31.7796132108507,Salamanca,Ciudad,8567.07989,2017756.77993,Salamanca,11615,2314,2253,61,1833,165,,36741.00000,660.59510,15641.86840,725.92868,226,110,1595,2124192.26000,3232,169240.02850,702.97780,698.07900,1401.05680,16343,227082,29640,,154,392,85810.07514,117.00000,108.99830,62.35927,5.84672,97.43713,340.46660,16823,5191,380,687,36938.55225
-72.0224150546981,-36.8979528776506,El Carmen,Pueblo,9226.91471,1617639.60474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.64314567765,-37.599293413426,Lebu,Ciudad,5380.41274,958943.07405,Lebu,20838,1511,1506,5,1246,138,,25035.00000,464.74974,17476.93350,805.56622,400,168,880,1761561.12000,3248,595390.19240,498.19650,948.82650,1447.02300,7744,283957,67840,158747,166,374,75606.95175,230.00005,169.99766,109.40045,8.78979,153.35189,2949.12300,42889,11871,401,1565,51784.37019
-72.5284153904418,-37.5858422416647,Negrete,Ciudad,4079.87561,711270.48142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.1467475433608,-37.1095958799774,Lota,Ciudad,3891.61913,635335.00646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.6565565629965,-36.8227799077548,Florida,Pueblo,8021.64060,1556327.56181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.0607712210643,-36.6384935634464,Isla Quiriquina,Pueblo,4129.94763,286644.27229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.3900384340047,-37.6697104432492,Antiguala,Pueblo,10541.35343,1042970.93344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
