X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,conb_Conurbacion,conb_Pob_Conurb_2002,conb_vehicle,conb_motor vehicle,conb_Non-motorized vehicle,conb_private transport,conb_public transport,conb_CO2(movil transport sources),conb_Green spaces,conb_Iliteracy,conb_Municipal spending(M$/hab),conb_Unemployment,conb_Crime reports,conb_Arrested person,conb_Companies,conb_Sales,conb_workers,conb_Income(workers),conb_Professional technicians,conb_University Professional,conb_Professionals,conb_Solid Waste,conb_Municipal spending for Power Consumption,conb_Municipal spending for Water Consumption,conb_Municipal Spending cleaning services garbage collection landfill,conb_Deaths,conb_Birthrate,conb_Year of scholarship,conb_Offence Against Property,conb_Offence Against the Person,conb_Burglary,conb_Robbery,conb_Injuries,conb_Indigenous,conb_Emergency attendence,conb_Respiratory Diseases,conb_Cardiovascular Diseases,conb_Hospitalizations,conb_Street length
-73.04751593,-36.81172027,Concepcin,Ciudad,82986.89438,34542266.08,Gran Concepcion,848023,108208,105398,2810,93565,6777,583047.96,2411412.2,9503.887059,510781.4215,30381.90272,15679,9810,40624,289731935.7,260858,32131246.41,49330.0243,85350.1059,134680.1302,311682,7402811,925568,14858814,4967,13331,3029778.681,8593.756934,5746.329557,5673.926295,1460.536092,3607.033897,18779.4871,1306694,446161,24084,24637,2227933.697
-70.29773762,-18.47213223,Arica,Ciudad,39931.46524,21509819.75,Arica,175441,29649,28909,740,23811,3379,62454.17,296428.8,1642.31004,96876.6372,6046.99931,3347,1478,12660,28031298.74,40970,3221089.884,10856.7048,19082.604,29939.3088,112257,1831201,398469,1074983,1107,3634,782988.885,2166.99828,1179.99042,1492.68575,227.58321,842.39507,24121.8936,132798,31272,3768,8024,478863.3421
-70.12603338,-20.24755407,Iquique,Ciudad,64442.90073,24645355.43,Gran Iquique,214586,,,,,,93258.19,182824.4,394.2026472,125733.326,6570.04412,5120,2657,13945,115414057.4,65055,5782660.63,10038.7216,17684.1056,27722.8272,165397,2156775,697799,4841288,1222,5416,759319.5944,2722.464733,1209.54961,1827.41298,232.7853224,996.825914,9772.7952,387278,112164,6340,11623,504093.8445
-70.20193072,-22.09362406,Tocopilla,Ciudad,18321.064,4465189.448,Tocopilla,23352,2588,2495,93,1929,392,,14391.6,124.34342,21656.9594,877.86457,379,106,1266,13097142.72,3786,723612.2257,1295.244,1237.6776,2532.9216,9300,,,,162,436,87155.5296,202.00002,176.99749,128.36588,18.05186,150.4306,208.6782,49454,13342,1242,1522,56486.90334
-70.43170889,-23.09884896,Mejillones,Ciudad,17400.05844,7553971.824,Mejillones,7825,1788,1732,56,1513,116,,14310.6,39.20818,13216.26,237.22597,198,71,395,1254288.91,1054,102201.6092,462.99,385.5444,848.5344,3619,160790,73416,424363,39,159,26028.456,120.00002,78.00035,83.7793,5.5845,62.36812,192.7722,28285,7720,491,60,26758.43546
-70.48112328,-25.4059141,Taltal,Ciudad,7610.91798,2074162.798,Taltal,9564,959,921,38,774,107,,,161.619,15140.4,294.57036,240,77,631,1185221.39,901,113779.2561,307.47,395.16,702.63,3679,293252,81648,242910,61,175,50119.83,135.99986,104.00034,68.11515,9.87123,88.84662,101.01,27518,6372,387,109,22007.09197
-70.20193072,-22.09362406,Tocopilla,Ciudad,18321.064,4465189.448,Tocopilla,23352,2588,2495,93,1929,392,,14391.6,124.34342,21656.9594,877.86457,379,106,1266,13097142.72,3786,723612.2257,1295.244,1237.6776,2532.9216,9300,,,,162,436,87155.5296,202.00002,176.99749,128.36588,18.05186,150.4306,208.6782,49454,13342,1242,1522,56486.90334
-70.75529813,-28.5792524,Vallenar,Ciudad,13964.74013,5723772.154,Vallenar,43750,6204,6092,112,4748,912,,38432,785.601,25595.712,1016.85307,779,285,2746,16259430.54,9998,1064238.631,1460.416,2622.984,4083.4,27093,362800,62279,166883,300,881,154404.4032,509.99985,268.99998,303.04593,27.63741,224.07297,1268.256,76433,22954,1894,3564,238744.9367
-70.96455982,-31.77961321,Salamanca,Ciudad,8567.07989,2017756.78,Salamanca,11615,2314,2253,61,1833,165,,36741,660.5951,15641.8684,725.92868,226,110,1595,2124192.26,3232,169240.0285,702.9778,698.079,1401.0568,16343,227082,29640,,154,392,85810.07514,117,108.9983,62.35927,5.84672,97.43713,340.4666,16823,5191,380,687,36938.55225
-73.64314568,-37.59929341,Lebu,Ciudad,5380.41274,958943.0741,Lebu,20838,1511,1506,5,1246,138,,25035,464.74974,17476.9335,805.56622,400,168,880,1761561.12,3248,595390.1924,498.1965,948.8265,1447.023,7744,283957,67840,158747,166,374,75606.95175,230.00005,169.99766,109.40045,8.78979,153.35189,2949.123,42889,11871,401,1565,51784.37019
-71.94655814,-37.24025869,Huepil,Ciudad,8352.78158,2675814.862,Huepil,6576,1671,1551,120,1246,53,,60051.9,294.90836,10268.8749,357.07614,95,67,551,1434294.32,1666,176445.0659,281.094,413.9748,695.0688,5289,153640,13782,194838,110,148,39322.4952,49.00005,45.99848,16.66121,2.93999,42.14621,121.3815,23251,7173,377,818,27335.87862
-68.9232687,-22.45152051,Calama,Ciudad,31299.97527,17515368.09,Calama,136600,33236,31931,1305,24627,4272,124119.07,152242.2,160.47712,64398.4506,4381.02535,3066,1187,6344,46853067.17,32200,4538646.592,11404.3248,10933.758,22338.0828,44341,1099776,206834,3206887,598,2893,499827.7508,1990.99996,1074.99601,1330.83211,146.26323,832.34963,13148.19,100945,26479,3026,3979,392271.0745
