Conurbacion,Pob_Conurb_2002,vehicle,motor vehicle,Non-motorized vehicle,private transport,public transport,CO2(movil transport sources),Green spaces ,Iliteracy,Municipal spending(M$/hab),Unemployment,Crime reports,Arrested person,Companies,Sales,workers,Income(workers),Professional technicians,University Professional,Professionals,Solid Waste,Municipal spending for Power Consumption,Municipal spending for Water Consumption,Municipal Spending cleaning services garbage collection landfill,Deaths,Birthrate,Year of scholarship,Offence Against Property,Offence Against the Person,Burglary,Robbery,Injuries,Indigenous,Emergency attendence,Respiratory Diseases,Cardiovascular Diseases,Hospitalizations,Street length
Ancud,27292,4533,4447,86,3637,497,,119838,589.922528,18115.511,309.7093272,458,356,2708,8970717.72,10416,837877.1162,978.677,1813.5484,2792.2254,17317,240368,67360,470216,243,590,109687.7214,260.9995743,197.0016882,117.6849106,10.6975388,174.0926572,2588.5008,46524,11988,741,2466,87265.97534
Andacollo,9444,1032,1009,23,740,147,,74073.6,141.249096,6408.3952,282.498192,164,15,330,3255121.41,883,226680.0232,245.8832,237.6528,483.536,1861,130491,43117,1741,66,180,27733.15584,67.99997632,95.9993856,40.8042656,6.1203312,91.810112,47.3248,8182,2142,143,157,
Angol,43801,5043,4867,176,4160,396,10434.9,78393.6,1237.615442,24963.462,1288.163635,667,203,2420,8489458.76,15306,1192680.705,1097.5104,3101.4468,4198.9572,13913,530553,45594,413670,314,784,168536.4408,425.0001233,242.0010432,171.5986908,15.5954268,217.41975,1876.5468,116566,47440,1930,2748,128762.1758
Antofagasta,285255,42846,41381,1465,35200,3692,186838.65,,680.862546,155548.5295,5775.983932,5830,1850,15075,151080625.8,82360,13245820.99,20486.445,36073.9575,56560.4025,123137,2079290,1655983,6372096,1787,6128,1103889.821,3769.998742,2059.986271,2463.302023,497.375256,1250.890456,5106.766,314862,105722,3624,9706,704497.64
Arauco,16291,3631,3419,212,2797,202,,34873,974.2152666,24693.5713,987.2999649,515,168,1603,23219682.71,9695,1247243.749,1210.0931,1398.4073,2608.5004,12357,351581,53472,372373,194,512,117703.0009,242.9995975,271.9989381,109.8464627,9.4645322,238.6254771,1234.5042,47231,13345,809,1171,52249.94643
Arica,175441,29649,28909,740,23811,3379,62454.17,296428.8,1642.310039,96876.6372,6046.999306,3347,1478,12660,28031298.74,40970,3221089.884,10856.7048,19082.604,29939.3088,112257,1831201,398469,1074983,1107,3634,782988.885,2166.998278,1179.990419,1492.685749,227.5832112,842.3950692,24121.8936,132798,31272,3768,8024,478863.3421
Bulnes,10681,1291,1119,172,753,92,,8238,342.091188,12130.455,639.2037198,293,94,1145,2715910.19,3607,339631.8647,607.5525,698.1705,1305.723,2439,171176,17154,224566,156,267,62907.0156,182.0000745,111.0008715,69.4648755,3.91305,101.751657,142.1055,33570,8835,696,1454,30090.38415
Cabildo,11287,2249,2213,36,1896,142,,18916,472.7335392,8283.3164,248.8416824,205,54,1402,2569610.74,5045,350625.5576,618.5532,520.19,1138.7432,7002,170220,29844,225021,134,260,51387.2056,135.0000871,70.0005496,99.0555256,3.8456228,59.6270152,151.328,,,,,25885.99237
Cabrero,18037,2656,2442,214,1991,93,,27810.2,904.1662337,16567.2946,969.615264,245,166,1075,3404244.63,4693,456755.2997,594.127,573.9014,1168.0284,8868,352804,19484,415848,135,369,78171.944,122.0000607,122.99693,74.1065984,3.7973564,112.113029,401.9838,38225,11672,541,,54181.97306
Calama,136600,33236,31931,1305,24627,4272,124119.07,152242.2,160.477119,64398.4506,4381.025349,3066,1187,6344,46853067.17,32200,4538646.592,11404.3248,10933.758,22338.0828,44341,1099776,206834,3206887,598,2893,499827.7508,1990.999963,1074.996014,1330.832111,146.2632336,832.349628,13148.19,100945,26479,3026,3979,392271.0745
