field_1,Antenas,Nombres,Lat,Long,CentroLat,CentroLong,MINVU,Area
1169,MACRE,MACREU9,-33.582056000000001,-70.606555999999998,-33.582558883700003,-70.607601529999997,gran santiago,1944562.74
1827,AVEMA,AVEMAU8,-33.471905999999997,-70.758790000000005,-33.472146794899999,-70.757996886800001,gran santiago,1277042.68
5953,JOTAF,JOTAFAA,-33.456029999999998,-70.687219999999996,-33.456305194199999,-70.686313750500005,gran santiago,112935.93
4660,SCHAU,SCHAUU9,-36.902990500000001,-73.034206100000006,-36.903980987600001,-73.034424509600001,gran concepcion,3320532.08
1294,BRAVO,BRAVOU1,-33.433708000000003,-70.674103000000002,-33.433104539500000,-70.674103000000002,gran santiago,356255.42
1222,ESRCF,ESRCF6A,-33.409427770000001,-70.604036111100001,-33.409120098300001,-70.603509731499997,gran santiago,554044.16
0,ISTAI,ISTAI,-53.135210000000001,-70.933784000000003,-53.135210000000001,-70.933784000000003,punta arenas,1730512.58
3895,VILUC,VILUCU7,-33.774999999999999,-70.795100000000005,-33.774651591900003,-70.794858005199998,gran santiago,10344382.16
3884,ALVES,ALVESU7,-33.418810999999998,-70.581871000000007,-33.417034144100001,-70.581871000000007,gran santiago,313110.76
1614,MEPEG,MEPEGU9,-33.453277999999997,-70.570732000000007,-33.453277999999997,-70.570732000000007,gran santiago,201382.67
18610,LPHB1,LPHB1U7,-33.560808999999999,-70.785517999999996,-33.560406692999997,-70.785517999999996,gran santiago,970598.71
50,QUINC,QUINCU3,-33.037537999999998,-71.439888999999994,-33.037286558100000,-71.440408505899995,gran valparaiso,6183177.04
806,NEPTF,NEPTF8A,-33.445189999999997,-70.733940000000004,-33.444530898799997,-70.733386911899998,gran santiago,691792.93
2185,RUCEA,RUCEAU9,-37.623530000000002,-73.420339999999996,-37.623844369399997,-73.422591006900007,los alamos,18653239.76
3429,MANUE,MANUEU1,-32.772833333299999,-71.189666666700006,-32.772833333299999,-71.188470496899996,gran quillota,18904885.33
1890,ECOR4,ECOR4U2,-33.436729999999997,-70.631926000000007,-33.436662989699997,-70.631923195799999,gran santiago,41353.10
14996,COQC2,COQC2U7,-29.945930000000001,-71.343069999999997,-29.946326195000001,-71.343150623699998,gran la serena,64750996.89
1312,MIAUR,MIAURA,-33.049467000000000,-71.559353999999999,-33.049295003600001,-71.558790226200003,gran valparaiso,1273875.47
1632,GCENF,GCENFU7,-34.068208329999997,-70.730363888900001,-34.067074195300002,-70.730862199000001,graneros,34162299.25
3801,MTTC1,MTTC1Y,-33.461869999999998,-70.636080000000007,-33.462138988800000,-70.634876668199993,gran santiago,762539.61
1258,LRJG1,LRJG1Z,-33.455800000000004,-70.697997222200001,-33.456140044599998,-70.698871273300000,gran santiago,228300.80
5664,LUCOF,LUCOFL0,-33.480330000000002,-70.649420000000006,-33.480330000000002,-70.649420000000006,gran santiago,274474.86
539,BEAUF,BEAUFU8,-33.470799999999997,-70.664599999999993,-33.471313641700000,-70.664083317899994,gran santiago,465568.17
4481,PARRA,PARRAU9,-36.145229999999998,-71.810969999999998,-36.145229999999998,-71.813211890399998,parral,81698601.95
1994,PRMMF,PRMMF9B,-33.428805555600000,-70.620305555599998,-33.429274913699999,-70.619331454399997,gran santiago,61891.36
1373,PLAST,PLASTU7,-33.636499999999998,-71.620833000000005,-33.635421352400002,-71.619745904499993,gran san antonio,2449616.35
1698,RBEXB,RBEXBW3,-40.324796999999997,-72.955780000000004,-40.326249715199999,-72.956115994599998,la union-rio bueno,118268813.90
488,CERXB,CERXBU2,-33.492666659999998,-70.706277777799997,-33.493313154900001,-70.705353906599996,gran santiago,1871084.18
