field_1,Antenas,Nombres,Lat,Long,CentroLat,CentroLong,MINVU,Area
1169,MACRE,MACREU9,-33.582056000000001,-70.606555999999998,-33.582558883700003,-70.607601529999997,gran santiago,1944562.74
1827,AVEMA,AVEMAU8,-33.471905999999997,-70.758790000000005,-33.472146794899999,-70.757996886800001,gran santiago,1277042.68
1212,ROCEN,ROCENU8,-34.330440000000003,-70.898470000000003,-34.331144037199998,-70.896993322499995,,51904860.89
5953,JOTAF,JOTAFAA,-33.456029999999998,-70.687219999999996,-33.456305194199999,-70.686313750500005,gran santiago,112935.93
4660,SCHAU,SCHAUU9,-36.902990500000001,-73.034206100000006,-36.903980987600001,-73.034424509600001,gran concepcion,3320532.08
1294,BRAVO,BRAVOU1,-33.433708000000003,-70.674103000000002,-33.433104539500000,-70.674103000000002,gran santiago,356255.42
1222,ESRCF,ESRCF6A,-33.409427770000001,-70.604036111100001,-33.409120098300001,-70.603509731499997,gran santiago,554044.16
0,ISTAI,ISTAI,-53.135210000000001,-70.933784000000003,-53.135210000000001,-70.933784000000003,punta arenas,1730512.58
3895,VILUC,VILUCU7,-33.774999999999999,-70.795100000000005,-33.774651591900003,-70.794858005199998,gran santiago,10344382.16
3873,SJVG1,SJVG1W1,-35.601906000000000,-71.767639000000003,-35.600914707900003,-71.766186056500004,,100930611.06
468,COOPF,COOPF6X,-37.998280000000001,-73.220519999999993,-37.998566660599998,-73.219520548899993,,213339547.71
2307,MTESF,MTESF8A,-22.931972200000001,-69.114969400000007,-22.931559408700000,-69.113737944500002,,2115423863.32
3884,ALVES,ALVESU7,-33.418810999999998,-70.581871000000007,-33.417034144100001,-70.581871000000007,gran santiago,313110.76
1614,MEPEG,MEPEGU9,-33.453277999999997,-70.570732000000007,-33.453277999999997,-70.570732000000007,gran santiago,201382.67
18610,LPHB1,LPHB1U7,-33.560808999999999,-70.785517999999996,-33.560406692999997,-70.785517999999996,gran santiago,970598.71
9965,RCHOF,RCHOFU7,-38.655230000000003,-72.721930000000000,-38.653447122300001,-72.722332553599998,,100031424.74
689,RCPA3,RCPA3EA,-45.512749999999997,-72.095693999999995,-45.511715608199999,-72.093934861099996,,445504204.65
50,QUINC,QUINCU3,-33.037537999999998,-71.439888999999994,-33.037286558100000,-71.440408505899995,gran valparaiso,6183177.04
806,NEPTF,NEPTF8A,-33.445189999999997,-70.733940000000004,-33.444530898799997,-70.733386911899998,gran santiago,691792.93
2185,RUCEA,RUCEAU9,-37.623530000000002,-73.420339999999996,-37.623844369399997,-73.422591006900007,los alamos,18653239.76
1126,PRLLF,PRLLF6B,-34.473610000000001,-71.476110000000006,-34.474163172099999,-71.474947768400000,,86614282.29
2,CHIUF,CHIUFU2,-22.333416660000001,-68.652722222199998,-22.334221274000001,-68.651215564799998,,2355420972.73
3429,MANUE,MANUEU1,-32.772833333299999,-71.189666666700006,-32.772833333299999,-71.188470496899996,gran quillota,18904885.33
1890,ECOR4,ECOR4U2,-33.436729999999997,-70.631926000000007,-33.436662989699997,-70.631923195799999,gran santiago,41353.10
14996,COQC2,COQC2U7,-29.945930000000001,-71.343069999999997,-29.946326195000001,-71.343150623699998,gran la serena,64750996.89
1312,MIAUR,MIAURA,-33.049467000000000,-71.559353999999999,-33.049295003600001,-71.558790226200003,gran valparaiso,1273875.47
1632,GCENF,GCENFU7,-34.068208329999997,-70.730363888900001,-34.067074195300002,-70.730862199000001,graneros,34162299.25
3801,MTTC1,MTTC1Y,-33.461869999999998,-70.636080000000007,-33.462138988800000,-70.634876668199993,gran santiago,762539.61
